ls1 (mm),ls2 (mm),ls3 (mm),ws1 (mm),ws2 (mm),ws3 (mm),Frequency 1 (GHz),S11 1 (dB),Frequency 2 (GHz),S11 2 (dB),Frequency 3 (GHz),S11 3 (dB)
7.5,9,7.5,0.5,1.5,0.25,2.55,-12.0261412825654,5.3,-11.9490230570451,5.85,-10.1414339662997
7.5,9,7.5,0.75,1.5,0.25,2.5,-15.0726730953164,5.45,-15.6000250923947,,
7.5,9,7.5,1,1.5,0.25,2.5,-15.2162596440494,5.45,-18.5184854604975,,
7.75,9,7.5,0.5,1.5,0.25,2.5,-12.8012289879693,5.35,-23.30814836692,,
7.75,9,7.5,0.75,1.5,0.25,2.5,-16.5143731598306,5.3,-15.631489222649,5.85,-11.8293868773592
7.75,9,7.5,1,1.5,0.25,2.45,-16.9760205536245,5.3,-20.6134280566513,5.85,-10.9791888728637
8,9,7.5,0.5,1.5,0.25,2.5,-14.8525824148874,5.35,-34.1454493991466,,
8,9,7.5,0.75,1.5,0.25,2.5,-16.1571950044852,5.35,-24.7970173866939,,
8,9,7.5,1,1.5,0.25,2.45,-24.7105174370416,5.35,-32.6084645159025,,
7.5,9,7.5,0.5,1.75,0.25,2.5,-10.7676773404566,5.3,-12.8528903489502,,
7.5,9,7.5,0.75,1.75,0.25,2.5,-12.9113872848369,5.35,-15.858585077198,,
7.5,9,7.5,1,1.75,0.25,2.45,-17.14431412427,5.4,-17.7348110550256,,
7.75,9,7.5,0.5,1.75,0.25,2.5,-12.8803671029323,5.3,-18.8385905966996,,
7.75,9,7.5,0.75,1.75,0.25,2.45,-14.8843448954439,5.35,-19.3705504117463,,
7.75,9,7.5,1,1.75,0.25,2.45,-18.938085285019,5.4,-22.1399760035564,,
8,9,7.5,0.5,1.75,0.25,2.5,-14.5405288114063,5.3,-35.6368711712563,,
8,9,7.5,0.75,1.75,0.25,2.45,-20.0451215937393,5.35,-20.0348641422814,,
8,9,7.5,1,1.75,0.25,2.45,-25.3688030957765,5.35,-30.1553141397924,,
7.5,9,7.5,0.5,2,0.25,2.5,-10.5549081996238,5.3,-16.2688979478684,,
7.5,9,7.5,0.75,2,0.25,2.45,-13.5552400074198,5.35,-15.8421786014491,,
7.5,9,7.5,1,2,0.25,2.45,-17.3552424624174,5.35,-18.3790042086144,,
7.75,9,7.5,0.5,2,0.25,2.5,-13.3529541511413,5.3,-17.8633192521755,,
7.75,9,7.5,0.75,2,0.25,2.45,-16.9316906613106,5.2,-18.8070777818244,5.85,-10.5524243636228
7.75,9,7.5,1,2,0.25,2.45,-19.322512168363,5.3,-18.845721052036,,
8,9,7.5,0.5,2,0.25,2.45,-14.1792489593232,5.3,-28.009985050496,,
8,9,7.5,0.75,2,0.25,2.45,-20.3087175287718,5.25,-31.8825009929668,5.95,-10.0931032020752
8,9,7.5,1,2,0.25,2.4,-17.6614524399254,5.3,-30.2156728517911,,
7.5,9.25,7.5,0.5,1.5,0.25,2.5,-11.9442473271944,5.2,-10.9308646611233,5.75,-11.8479143247773
7.5,9.25,7.5,0.75,1.5,0.25,2.45,-13.6924627331969,5.45,-19.4333757253174,,
7.5,9.25,7.5,1,1.5,0.25,2.45,-16.6621939938362,5.4,-19.0515224874129,,
7.75,9.25,7.5,0.5,1.5,0.25,2.5,-12.5677760822394,5.35,-24.3999123198798,,
7.75,9.25,7.5,0.75,1.5,0.25,2.45,-16.9157268317105,5.35,-19.8259262202201,,
7.75,9.25,7.5,1,1.5,0.25,2.45,-18.0580447051555,5.4,-23.8163014533627,,
8,9.25,7.5,0.5,1.5,0.25,2.45,-15.0105449390479,5.35,-26.2713289150891,,
8,9.25,7.5,0.75,1.5,0.25,2.45,-19.985509328945,5.35,-28.6539472201616,,
8,9.25,7.5,1,1.5,0.25,2.4,-18.8302152608935,5.4,-20.1919889107511,,
7.5,9.25,7.5,0.5,1.75,0.25,2.45,-12.0765866763963,5.4,-16.8319617298105,,
7.5,9.25,7.5,0.75,1.75,0.25,2.45,-14.5405226450991,5.35,-18.5614656229718,,
7.5,9.25,7.5,1,1.75,0.25,2.4,-16.1478610558065,5.4,-19.5159452546704,,
7.75,9.25,7.5,0.5,1.75,0.25,2.45,-14.0959890941113,5.35,-18.9556814854236,,
7.75,9.25,7.5,0.75,1.75,0.25,2.45,-15.1089721280135,5.3,-21.9310918915341,,
7.75,9.25,7.5,1,1.75,0.25,2.4,-21.4303148963677,5.35,-19.8747524410754,,
8,9.25,7.5,0.5,1.75,0.25,2.45,-16.7990234545647,5.3,-23.3229661149658,,
8,9.25,7.5,0.75,1.75,0.25,2.4,-16.7323261484215,5.3,-24.778401958312,,
8,9.25,7.5,1,1.75,0.25,2.4,-31.7530912770101,5.3,-23.5947321814018,,
7.5,9.25,7.5,0.5,2,0.25,2.45,-12.1519392069437,5.3,-12.8069158089832,,
7.5,9.25,7.5,0.75,2,0.25,2.45,-13.4742035246012,5.3,-16.6898385847618,,
7.5,9.25,7.5,1,2,0.25,2.4,-19.1343992896013,5.3,-18.5035634767596,,
7.75,9.25,7.5,0.5,2,0.25,2.45,-14.4076055549013,5.35,-23.5190632832724,,
7.75,9.25,7.5,0.75,2,0.25,2.4,-18.0755554900125,5.3,-22.1398175431064,,
7.75,9.25,7.5,1,2,0.25,2.35,-15.5366057915549,5.05,-25.9106596725425,5.7,-12.6415031884529
8,9.25,7.5,0.5,2,0.25,2.45,-14.929729481388,5.3,-20.3740645791079,,
8,9.25,7.5,0.75,2,0.25,2.4,-25.3159625448064,5.25,-20.0355077087377,,
8,9.25,7.5,1,2,0.25,2.4,-18.8737154372452,5.25,-19.5300953205915,,
7.5,9.5,7.5,0.5,1.5,0.25,2.45,-12.2615065424824,5.4,-17.2948807871412,,
7.5,9.5,7.5,0.75,1.5,0.25,2.4,-17.5958287177403,5.4,-19.5463043943424,,
7.5,9.5,7.5,1,1.5,0.25,2.4,-16.4531155856164,5.4,-20.5681529428689,,
7.75,9.5,7.5,0.5,1.5,0.25,2.4,-14.3800303114438,5.35,-25.4002300010788,,
7.75,9.5,7.5,0.75,1.5,0.25,2.4,-19.8032291018286,5.35,-30.1547495955099,,
7.75,9.5,7.5,1,1.5,0.25,2.35,-16.1805283603044,5.35,-30.2404408408493,,
8,9.5,7.5,0.5,1.5,0.25,2.45,-14.412001132639,5.25,-30.1744191228792,,
8,9.5,7.5,0.75,1.5,0.25,2.4,-21.4864145218539,5.3,-26.3216354411062,,
8,9.5,7.5,1,1.5,0.25,2.35,-20.5830537693032,5.3,-24.7528831083777,,
7.5,9.5,7.5,0.5,1.75,0.25,2.4,-14.2578967054873,5.4,-16.5870005338105,,
7.5,9.5,7.5,0.75,1.75,0.25,2.4,-15.9611994426561,5.35,-20.6203803815757,,
7.5,9.5,7.5,1,1.75,0.25,2.35,-16.252322704644,5.3,-18.4737966813281,,
7.75,9.5,7.5,0.5,1.75,0.25,2.4,-16.5857485986472,5.35,-21.528662006635,,
7.75,9.5,7.5,0.75,1.75,0.25,2.4,-14.9989555174582,5.35,-22.225786280084,,
7.75,9.5,7.5,1,1.75,0.25,2.35,-29.4119797440371,5.35,-28.196505190246,,
8,9.5,7.5,0.5,1.75,0.25,2.4,-16.0104672010617,5.3,-23.0095372092738,,
8,9.5,7.5,0.75,1.75,0.25,2.4,-19.5690603792429,5.2,-24.5387287839906,,
8,9.5,7.5,1,1.75,0.25,2.35,-34.077659053146,5.3,-23.9377090129318,,
7.5,9.5,7.5,0.5,2,0.25,2.4,-13.0783526123755,5.35,-18.1008629163166,,
7.5,9.5,7.5,0.75,2,0.25,2.4,-14.9498350765686,5.3,-20.5026511777791,,
7.5,9.5,7.5,1,2,0.25,2.35,-20.9043272498923,5.35,-21.9519240116279,,
7.75,9.5,7.5,0.5,2,0.25,2.4,-14.2449910107786,5.3,-24.1955032257664,,
7.75,9.5,7.5,0.75,2,0.25,2.35,-19.3846749732054,5.3,-22.950625602353,,
7.75,9.5,7.5,1,2,0.25,2.35,-18.5206297639208,5.3,-29.6088308135479,,
8,9.5,7.5,0.5,2,0.25,2.35,-15.4446935077458,5.25,-24.3091043924627,,
8,9.5,7.5,0.75,2,0.25,2.35,-27.165222017307,5.25,-26.1554413057782,,
8,9.5,7.5,1,2,0.25,2.35,-25.6861946168003,5.3,-21.9958970154906,,
7.5,9,7.75,0.5,1.5,0.25,2.5,-10.8979369924161,5.3,-11.8528087633344,5.85,-10.9179418267951
7.5,9,7.75,0.75,1.5,0.25,2.5,-13.8765151156708,5.3,-13.6955203975204,5.9,-10.2560585648525
7.5,9,7.75,1,1.5,0.25,2.45,-14.7225127927017,5.35,-16.2365106337973,,
7.75,9,7.75,0.5,1.5,0.25,2.5,-12.8865017715972,5.3,-16.6477966871927,5.85,-10.6660153030926
7.75,9,7.75,0.75,1.5,0.25,2.5,-15.3196876808434,5.35,-16.6888201857197,5.9,-10.4310656305749
7.75,9,7.75,1,1.5,0.25,2.45,-17.5488795321631,5.25,-13.7162467828682,5.85,-12.6015455958993
8,9,7.75,0.5,1.5,0.25,2.5,-15.6390308196874,5.3,-18.3816931856168,5.9,-11.2762100298758
8,9,7.75,0.75,1.5,0.25,2.5,-17.2890302602053,5.25,-21.4426837011067,5.85,-12.6098399526914
8,9,7.75,1,1.5,0.25,2.45,-24.6475552286262,5.35,-18.197163054029,5.9,-10.1693449137634
7.5,9,7.75,0.5,1.75,0.25,2.5,-11.5806557806147,5.2,-14.0215567079449,5.85,-10.0599797182109
7.5,9,7.75,0.75,1.75,0.25,2.5,-12.7492159064211,5.3,-13.3288248211244,,
7.5,9,7.75,1,1.75,0.25,2.45,-16.0358531092781,5.2,-11.7751130823833,5.9,-11.0971732595734
7.75,9,7.75,0.5,1.75,0.25,2.5,-13.1778656877161,5.35,-16.3402547719647,,
7.75,9,7.75,0.75,1.75,0.25,2.45,-15.3082973909068,5.25,-19.0300393794004,5.9,-11.4332867916424
7.75,9,7.75,1,1.75,0.25,2.45,-21.1319828042514,5.3,-19.8255411255689,5.95,-10.6405355494352
8,9,7.75,0.5,1.75,0.25,2.5,-14.8290630447464,5.15,-17.5124005703733,5.8,-11.4490014126598
8,9,7.75,0.75,1.75,0.25,2.45,-20.2699259280926,5.25,-29.0499592550705,5.9,-11.0015347381476
8,9,7.75,1,1.75,0.25,2.45,-20.460900438635,5.25,-20.4159749322008,5.9,-12.832842342115
7.5,9,7.75,0.5,2,0.25,2.5,-12.7965190740426,5.35,-14.4500637365969,,
7.5,9,7.75,0.75,2,0.25,2.45,-13.3696655589505,5.2,-13.9460529606925,5.95,-10.1842135636857
7.5,9,7.75,1,2,0.25,2.45,-17.1482020663219,5.2,-15.6954998674686,5.9,-10.2999379527976
7.75,9,7.75,0.5,2,0.25,2.5,-12.7785441207172,5.3,-16.6738124428139,,
7.75,9,7.75,0.75,2,0.25,2.45,-17.67893234801,5.25,-19.3065729711609,5.95,-10.1258380173343
7.75,9,7.75,1,2,0.25,2.45,-16.066166249969,5.2,-22.039466323114,5.9,-11.5061461091516
8,9,7.75,0.5,2,0.25,2.45,-14.3948417959364,5.2,-30.7028620948081,5.9,-10.4702311473804
8,9,7.75,0.75,2,0.25,2.45,-19.9288294801621,5.2,-22.9337006286179,5.95,-11.4318579177751
8,9,7.75,1,2,0.25,2.4,-18.8167589699709,5.15,-21.3152780912709,5.9,-12.5876960139823
7.5,9.25,7.75,0.5,1.5,0.25,2.5,-12.1543885020381,5.35,-14.9210405599614,,
7.5,9.25,7.75,0.75,1.5,0.25,2.45,-14.4781155940431,5.35,-16.5433417641458,,
7.5,9.25,7.75,1,1.5,0.25,2.45,-14.6990675158935,5.1,-10.7905982564538,5.75,-13.6132230387896
7.75,9.25,7.75,0.5,1.5,0.25,2.45,-13.5780989417297,5.3,-20.1773391193798,5.85,-10.7721162884612
7.75,9.25,7.75,0.75,1.5,0.25,2.45,-17.9293257992741,5.3,-19.101572103823,5.85,-10.9408358584073
7.75,9.25,7.75,1,1.5,0.25,2.4,-15.8878983227282,5.3,-19.2637529967209,5.85,-11.6631895927053
8,9.25,7.75,0.5,1.5,0.25,2.45,-14.4022393385343,5.15,-22.2987142862479,5.7,-13.666719245094
8,9.25,7.75,0.75,1.5,0.25,2.45,-19.8438210664427,5.25,-19.4698684862781,5.8,-11.5466469609795
8,9.25,7.75,1,1.5,0.25,2.4,-26.450162439178,5.3,-27.9722583822032,5.85,-11.547531284125
7.5,9.25,7.75,0.5,1.75,0.25,2.45,-10.956787211751,5.4,-14.1621633442369,,
7.5,9.25,7.75,0.75,1.75,0.25,2.45,-14.1426953405563,5.3,-15.2839009867018,5.85,-10.2287561897864
7.5,9.25,7.75,1,1.75,0.25,2.4,-15.8174385091172,5.3,-14.4155014602534,5.85,-10.496124170906
7.75,9.25,7.75,0.5,1.75,0.25,2.45,-14.6963532294653,5.25,-18.0462136723488,5.85,-10.8094269381749
7.75,9.25,7.75,0.75,1.75,0.25,2.45,-14.2323532434025,5.25,-22.6570276444634,5.85,-11.0639697050899
7.75,9.25,7.75,1,1.75,0.25,2.4,-23.7450849335194,5.25,-20.2909552484119,5.85,-11.0349082425938
8,9.25,7.75,0.5,1.75,0.25,2.45,-16.3647509220792,5.2,-22.4157855354284,5.8,-11.5742809487262
8,9.25,7.75,0.75,1.75,0.25,2.4,-17.7998216271566,5.25,-19.814898726411,5.85,-10.7568086799695
8,9.25,7.75,1,1.75,0.25,2.4,-27.580960130178,5.2,-22.634824735527,5.85,-11.4351737376003
7.5,9.25,7.75,0.5,2,0.25,2.45,-13.0638343109832,5.25,-15.3712926552273,,
7.5,9.25,7.75,0.75,2,0.25,2.4,-13.0088729073783,5.25,-15.2287492220658,5.9,-10.0777895096701
7.5,9.25,7.75,1,2,0.25,2.4,-18.6611885177407,5.3,-17.8385779891532,,
7.75,9.25,7.75,0.5,2,0.25,2.45,-14.3735374476314,5.35,-19.0278780251581,,
7.75,9.25,7.75,0.75,2,0.25,2.4,-16.4702163992262,5.25,-20.587267285417,,
7.75,9.25,7.75,1,2,0.25,2.4,-19.124687684899,5.05,-17.680831163009,5.75,-14.2694183689456
8,9.25,7.75,0.5,2,0.25,2.45,-13.9618023476328,5.15,-25.3350138555973,5.8,-12.0936363139172
8,9.25,7.75,0.75,2,0.25,2.4,-24.2683303614903,5.2,-23.1120876076381,5.85,-11.9928982966024
8,9.25,7.75,1,2,0.25,2.4,-16.19865692631,5.15,-17.4074965029888,5.8,-13.112893807225
7.5,9.5,7.75,0.5,1.5,0.25,2.45,-11.5827424846589,5.35,-16.6414576989522,,
7.5,9.5,7.75,0.75,1.5,0.25,2.4,-16.9106609371507,5.3,-17.1638345836532,5.75,-10.9250779843779
7.5,9.5,7.75,1,1.5,0.25,2.4,-17.8400695687778,5.3,-17.2016224520241,5.75,-11.2395237954574
7.75,9.5,7.75,0.5,1.5,0.25,2.4,-15.8490453223377,5.3,-22.2029249416296,5.8,-10.0404679152864
7.75,9.5,7.75,0.75,1.5,0.25,2.4,-18.0097392001334,5.3,-25.8503670302145,5.8,-11.03314471934
7.75,9.5,7.75,1,1.5,0.25,2.35,-19.2954651751002,5.3,-20.3534602716266,5.8,-12.0607224166142
8,9.5,7.75,0.5,1.5,0.25,2.4,-19.9875464565895,5.25,-36.8287495873342,5.75,-10.7365659563974
8,9.5,7.75,0.75,1.5,0.25,2.4,-18.5117826896879,5.15,-22.2949402469663,5.6,-13.5465171748419
8,9.5,7.75,1,1.5,0.25,2.35,-22.1553916948268,5.25,-28.6409474740374,5.75,-11.9926390260302
7.5,9.5,7.75,0.5,1.75,0.25,2.4,-14.6854364038195,5.3,-16.4169120462776,,
7.5,9.5,7.75,0.75,1.75,0.25,2.4,-13.5451931701628,5.3,-18.6759133618699,,
7.5,9.5,7.75,1,1.75,0.25,2.35,-19.0027145995493,5.3,-18.9287945084273,,
7.75,9.5,7.75,0.5,1.75,0.25,2.4,-15.2379358785948,5.2,-21.1255330649852,5.7,-10.5589386329283
7.75,9.5,7.75,0.75,1.75,0.25,2.4,-17.3991327279617,5.1,-15.6796847564873,5.65,-13.7589087034582
7.75,9.5,7.75,1,1.75,0.25,2.35,-17.4624309092364,5.3,-22.9256890545901,,
8,9.5,7.75,0.5,1.75,0.25,2.4,-16.473521655664,5.2,-34.1506835890094,5.75,-10.7681068125554
8,9.5,7.75,0.75,1.75,0.25,2.35,-15.9597539744725,5.25,-20.8250452939933,,
8,9.5,7.75,1,1.75,0.25,2.35,-27.4072689631792,5.1,-23.7733584391662,5.7,-13.6501903585085
7.5,9.5,7.75,0.5,2,0.25,2.4,-12.5679446556482,5.3,-16.5167088563139,,
7.5,9.5,7.75,0.75,2,0.25,2.35,-12.94488129466,5.25,-20.2268836778675,,
7.5,9.5,7.75,1,2,0.25,2.35,-19.2158416486961,5.3,-18.2144245435298,,
7.75,9.5,7.75,0.5,2,0.25,2.35,-14.3942819626903,5.25,-23.7783500406917,,
7.75,9.5,7.75,0.75,2,0.25,2.35,-22.5258788293635,5.25,-26.9594093557809,5.85,-10.2534707651817
7.75,9.5,7.75,1,2,0.25,2.35,-17.7778219923579,5.25,-34.7616291410432,,
8,9.5,7.75,0.5,2,0.25,2.35,-18.1212601701641,5.2,-29.9338585645934,,
8,9.5,7.75,0.75,2,0.25,2.35,-21.0398106190204,5.2,-24.3297476728264,5.85,-10.4355525289054
8,9.5,7.75,1,2,0.25,2.3,-14.5916612188435,5.2,-22.9365867110985,5.85,-10.6346537624851
7.5,9,8,0.5,1.5,0.25,2.5,-11.4237638073267,5.25,-11.8229335156895,5.85,-10.6166900195464
7.5,9,8,0.75,1.5,0.25,2.5,-13.862477624824,5.3,-11.818930349989,5.85,-10.7805945924617
7.5,9,8,1,1.5,0.25,2.45,-14.6328685948826,5.2,-11.3723409573409,5.85,-12.1001218692278
7.75,9,8,0.5,1.5,0.25,2.5,-13.2408362410222,5.2,-15.0422950599351,5.8,-12.5083165111962
7.75,9,8,0.75,1.5,0.25,2.5,-14.3815521772615,5.2,-16.3087547003098,5.85,-13.1706420761437
7.75,9,8,1,1.5,0.25,2.45,-19.7897712826944,5.15,-12.2914133274298,5.8,-13.1110542173807
8,9,8,0.5,1.5,0.25,2.5,-16.2177715714664,5.15,-19.7665566525747,5.75,-14.7570345547313
8,9,8,0.75,1.5,0.25,2.45,-17.5382256656524,5.1,-13.5320032675576,5.75,-15.8408843161089
8,9,8,1,1.5,0.25,2.45,-25.5535781529302,5.2,-16.2756067648158,5.8,-14.2468951026291
7.5,9,8,0.5,1.75,0.25,2.5,-12.014870376668,5.25,-13.5563059880304,5.9,-10.5796774341365
7.5,9,8,0.75,1.75,0.25,2.5,-12.7046896870739,5.2,-11.9751732147445,5.85,-11.136980950982
7.5,9,8,1,1.75,0.25,2.45,-17.5725666365361,5.2,-13.8455963214457,5.9,-11.1490135369297
7.75,9,8,0.5,1.75,0.25,2.5,-13.0706163221228,5.0,-10.7980610493859,5.7,-15.0201459823092
7.75,9,8,0.75,1.75,0.25,2.5,-14.9675270715233,5.25,-18.8958968068563,5.85,-11.3378295821528
7.75,9,8,1,1.75,0.25,2.45,-19.013113931804,5.15,-15.1524848884649,5.9,-12.6172045145885
8,9,8,0.5,1.75,0.25,2.5,-15.0208393178056,5.1,-17.2451429292748,5.8,-14.9501210560061
8,9,8,0.75,1.75,0.25,2.45,-21.1825585280594,5.15,-16.4250977488675,5.85,-13.1446787739561
8,9,8,1,1.75,0.25,2.45,-19.4388667679065,5.1,-16.7771154300966,5.8,-13.7857566684014
7.5,9,8,0.5,2,0.25,2.5,-11.525879111264,5.2,-12.549492312734,5.95,-10.0073454466955
7.5,9,8,0.75,2,0.25,2.45,-14.5734867996987,5.1,-14.1722440812195,5.85,-11.7056065104146
7.5,9,8,1,2,0.25,2.45,-16.344372355782,5.15,-15.1769456784563,5.9,-11.302159021359
7.75,9,8,0.5,2,0.25,2.5,-12.8089462677354,5.15,-17.0502776879258,5.85,-11.4601297660427
7.75,9,8,0.75,2,0.25,2.45,-17.4743479321322,5.15,-16.7469354596959,5.9,-12.1735043600204
7.75,9,8,1,2,0.25,2.45,-15.9508654698107,5.15,-22.0382107832115,5.9,-12.2488115205501
